Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03D6_2010,Screening for diseases/conditions -Colon/Rectal Cancer - Performed by another state/territorial agency,deleted in 2012,Q3D3,Screening for diseases/conditions - Colon/rectum cancer - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q3D8,Screening for diseases/conditions - Colon/rectum cancer -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCROTC01,Specific diseases or conditions - Other Cancers screening - Performed by state/territorial health agency directly or via contract,,ASCROTC01,Screening for diseases/conditions -Other Cancers-Performed by state/territorial health agency directly,ASCROTC01,Screening for diseases/conditions -Other Cancers-Performed by state/territorial health agency directly,B03E1_2010,Screening for diseases/conditions -Other Cancers-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q3E1,Screening for diseases/conditions - Other cancers - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCROTC02,Screening for diseases/conditions -Other Cancers-contracted out by state/territorial health agency ,ASCROTC02,Screening for diseases/conditions -Other Cancers-contracted out by state/territorial health agency ,,,added questions in 2012,Q3E2,Screening for diseases/conditions - Other cancers - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03E2_2010,Screening for diseases/conditions -Other Cancers - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3E4,Screening for diseases/conditions - Other cancers -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03E3_2010,Screening for diseases/conditions -Other Cancers - Performed by local health departments led by a local employee,deleted in 2012,Q3E5,Screening for diseases/conditions - Other cancers - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03E4_2010,Screening for diseases/conditions -Other Cancers - Performed by a not-for-profit entity,deleted in 2012,Q3E6,Screening for diseases/conditions - Other cancers - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03E5_2010,Screening for diseases/conditions -Other Cancers- Performed by a for-profit entity,deleted in 2012,Q3E7,Screening for diseases/conditions - Other cancers -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03E6_2010,Screening for diseases/conditions -Other Cancers - Performed by another state/territorial agency,deleted in 2012,Q3E3,Screening for diseases/conditions - Other cancers - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q3E8,Screening for diseases/conditions -Other cancers -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRCVD01,Specific diseases or conditions - Cardiovascular Disease screening -Performed by state/territorial health agency directly or via contract,,ASCRCVD01,Screening for diseases/conditions -Cardiovascular Disease-Performed by state/territorial health agency directly,ASCRCVD01,Screening for diseases/conditions -Cardiovascular Disease-Performed by state/territorial health agency directly,B03F1_2010,Screening for diseases/conditions -Cardiovascular Disease-Performed by state/territorial health agency,"response option in 2012 added ""directly""",Q3F1,Screening for diseases/conditions - Coronary heart disease - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRCVD02,Screening for diseases/conditions -Cardiovascular Disease-contracted out by state/territorial health agency ,ASCRCVD02,Screening for diseases/conditions -Cardiovascular Disease-contracted out by state/territorial health agency ,,,added questions in 2012,Q3F2,Screening for diseases/conditions - Coronary heart disease - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03F2_2010,Screening for diseases/conditions -Cardiovascular Disease - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3F4,Screening for diseases/conditions - Coronary heart disease -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03F3_2010,Screening for diseases/conditions -Cardiovascular Disease - Performed by local health departments led by a local employee,deleted in 2012,Q3F5,Screening for diseases/conditions - Coronary heart disease - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03F4_2010,Screening for diseases/conditions -Cardiovascular Disease - Performed by a not-for-profit entity,deleted in 2012,Q3F6,Screening for diseases/conditions - Coronary heart disease - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03F5_2010,Screening for diseases/conditions -Cardiovascular Disease - Performed by a for-profit entity,deleted in 2012,Q3F7,Screening for diseases/conditions - Coronary heart disease -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03F6_2010,Screening for diseases/conditions -Cardiovascular Disease - Performed by another state/territorial agency,deleted in 2012,Q3F3,Screening for diseases/conditions - Coronary heart disease - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q3F8,Screening for diseases/conditions - Coronary heart disease -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRDIA01,Specific diseases or conditions - Diabetes screening - Performed by state/territorial health agency directly or via contract,,ASCRDIA01,Screening for diseases/conditions -Diabetes-Performed by state/territorial health agency directly,ASCRDIA01,Screening for diseases/conditions -Diabetes-Performed by state/territorial health agency directly,B03G1_2010,Screening for diseases/conditions -Diabetes-Performed by state/territorial health agency,"response option in 2012 added ""directly""",Q3G1,Screening for diseases/conditions - Diabetes - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRDIA02,Screening for diseases/conditions -Diabetes-contracted out by state/territorial health agency ,ASCRDIA02,Screening for diseases/conditions -Diabetes-contracted out by state/territorial health agency ,,,added questions in 2012,Q3G2,Screening for diseases/conditions - Diabetes - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRHAN01,Specific diseases or conditions  - Hansen's disease screening - Performed by territorial health agency directly or via contract,Data is available for insular areas only.,ASCRHAN01,Screening for diseases/conditions -Hansen's disease-Performed by territorial health agency directly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRHAN02,Screening for diseases/conditions -Hansen's disease-contracted out by territorial health agency ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03G2_2010,Screening for diseases/conditions -Diabetes - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3G4,Screening for diseases/conditions -Diabetes -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03G3_2010,Screening for diseases/conditions -Diabetes - Performed by local health departments led by a local employee,deleted in 2012,Q3G5,Screening for diseases/conditions - Diabetes - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03G4_2010,Screening for diseases/conditions -Diabetes - Performed by a not-for-profit entity,deleted in 2012,Q3G6,Screening for diseases/conditions - Diabetes - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03G5_2010,Screening for diseases/conditions -Diabetes - Performed by a for-profit entity,deleted in 2012,Q3G7,Screening for diseases/conditions - Diabetes -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03G6_2010,Screening for diseases/conditions -Diabetes - Performed by another state/territorial agency,deleted in 2012,Q3G3,Screening for diseases/conditions - Diabetes - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q3G8,Screening for diseases/conditions - Diabetes -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRHBP01,Specific diseases or conditions - High blood pressure screening - Performed by state/territorial health agency directly or via contract,,ASCRHBP01,Screening for diseases/conditions -High blood pressure-Performed by state/territorial health agency directly,ASCRHBP01,Screening for diseases/conditions -High blood pressure-Performed by state/territorial health agency directly,B03H1_2010,Screening for diseases/conditions -High Blood Pressure-Performed by state/territorial health agency,"response option in 2012 added ""directly""",Q3H1,Screening for diseases/conditions - High blood pressure - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRHBP02,Screening for diseases/conditions -High blood pressure-contracted out by state/territorial health agency ,ASCRHBP02,Screening for diseases/conditions -High blood pressure-contracted out by state/territorial health agency ,,,added questions in 2012,Q3H2,Screening for diseases/conditions -High blood pressure - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03H2_2010,Screening for diseases/conditions -High Blood Pressure - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3H4,Screening for diseases/conditions - High blood pressure -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03H3_2010,Screening for diseases/conditions -High Blood Pressure - Performed by local health departments led by a local employee,deleted in 2012,Q3H5,Screening for diseases/conditions - High blood pressure - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03H4_2010,Screening for diseases/conditions -High Blood Pressure - Performed by a not-for-profit entity,deleted in 2012,Q3H6,Screening for diseases/conditions - High blood pressure - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03H5_2010,Screening for diseases/conditions -High Blood Pressure- Performed by a for-profit entity,deleted in 2012,Q3H7,Screening for diseases/conditions - High blood pressure -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03H6_2010,Screening for diseases/conditions -High Blood Pressure - Performed by another state/territorial agency,deleted in 2012,Q3H3,Screening for diseases/conditions -High blood pressure - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
